obs,t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x11,y1,y2,temp,d_l_y1,d_l_y2,l_y1,l_y2,d_x4,d_x5,d2000,time,timesq
1997,1997,2.0836000976563,52.277,5.69875455859079,3469510.048,2.82056789057578,33.064405146907,3.23550034977248,1.77330368341647,4813.2,852.740686543503,44241.4168943971,35.9664385459399,6.84325833333333,0.107323099789687,0.097088599547698,10.6974166631336,3.58258624101627,6420.9169999999,-0.0237416909609149,1,24,576
1998,1998,2.4741999511719,53.234,5.38688997863112,3324344.519,2.67674598026467,34.1285266144168,3.07898945001723,1.86406657564633,4952.8,870.617222318398,47344.153007525,38.1212809104542,7.503825,0.0677819433262616,0.05818643926328,10.7651986064598,3.64077268027955,-145165.529,-0.14382191031111,1,25,625
1999,1999,3.2953999023438,55.8531,6.1511193257838,3318055.614,2.64864924664833,30.0497248237907,3.01488363679197,1.86535796017533,4944.9,913.963447975829,50332.5605454276,40.1781386689344,7.29952583333333,0.0612088671491708,0.0525503532192384,10.826407473609,3.69332303349879,-6288.9049999998,-0.028096733616334,1,26,676
2000,2000,3.90008,61.891807,8.53833192923336,3405179.867,2.69686243322549,28.9365562828073,2.99988931301491,1.99714284886418,4752.6,992.943384720171,55731.5739992734,44.1387515883509,6.7375175,0.101894649858711,0.0940150839291709,10.9283021234677,3.78733811742796,87124.253,0.0482131865771569,1,27,729
2001,2001,4.232312,72.660653,8.31745150646067,3487566.356,2.74212081298895,29.2422980849292,2.95229011334684,2.29889726346258,4800.3,1076.54912135865,61622.8377628762,48.4513407735788,7.09674166666667,0.10048570024958,0.0932218938711951,11.0287878237173,3.88056001129916,82386.4890000001,0.045258379763462,0,28,784
2002,2002,5.013505,83.671798,8.36473851256684,3850269.326,3.0070831974383,28.1728762187974,3.0534631201665,2.42043228907687,4869,1194.85629490784,67656.9767434644,52.840500424449,7.32519916666667,0.0934179345488175,0.086717938871232,11.1222057582661,3.96727795017039,362702.97,0.264962384449347,0,29,841
2003,2003,5.65063,86.040642,8.17249088244148,4540417.061,3.52407409267308,27.7195986793729,3.15090663423772,2.52104765612761,4871.1,1379.48463210183,76386.4289743756,59.2878213088913,7.02154166666667,0.121354569884772,0.115125960523435,11.2435603281509,4.08240391069382,690147.735,0.516990895234783,0,30,900
2004,2004,7.02425,119.789024,8.19775539665807,5233538.733,4.03799065100399,31.376396526834,3.18420146434656,2.67890606090141,5186.8,1585.83878247787,89961.4875274177,69.4107112068497,7.32445416666667,0.163576613217176,0.157637285066055,11.407136941368,4.24004119575988,693121.672,0.51391655833091,0,31,961
2005,2005,7.579401,136.721623,7.7102101681756,5896957.705,4.52317806354125,32.6174065758507,3.24546618427198,2.7339176928011,5224.6,1782.31215291627,105172.581435262,80.6711421434526,6.96023916666667,0.15622097120243,0.15033972130686,11.5633579125705,4.39038091706674,663418.972,0.485187412537258,0,32,1024
2006,2006,7.692205,158.013351,7.61067364803615,6529291.518,4.98031419657976,31.845395137395,3.28695929036001,2.73878047480013,5313.4,2039.0146603408,126619.913280891,96.5812217059169,7.49144166666667,0.185587156650545,0.180003412976815,11.748945069221,4.57038433004355,632333.813,0.457136133038511,0,33,1089
